key,en,fr
# APP & NAVIGATION
appName,Yukon Register of Historic Places,Répertoire des lieux patrimoniaux du Yukon
home,Home,Accueil
map,Map,Carte
historicPlaces,Historic Places,Lieux patrimoniaux
places,Places,Lieux
contactUs,Contact Us,Contactez-nous
# ACTIONS & BUTTONS
viewPlace,View Place,Voir le lieu
viewDetails,View Details,Voir les détails
viewMap,View Map,Voir la carte
viewList,View List,Voir la liste
search,Search,Rechercher
searchPlaces,Search Places,Rechercher des lieux
print,Print,Imprimer
# PAGE TITLES & HEADINGS
listOfHistoricPlaces,List of Historic Places,Liste des lieux patrimoniaux
mapView,Map View,Vue carte
listView,List View,Vue liste
exploreHistoricPlaces,Explore Historic Places,Explorez les lieux patrimoniaux
photoGallery,Photo Gallery,Galerie photos
# PLACE DETAIL SECTIONS
designation,Designation,Désignation
placeDescription,Place Description,Description du lieu
heritageValue,Heritage Value,Valeur patrimoniale
characterDefinition,Character Definition,Définition du caractère
additionalInformation,Additional Information,Informations supplémentaires
descriptionOfBoundaries,Description of Boundaries,Description des limites
level,Level,Niveau
date,Date,Date
# STATUS & FEEDBACK MESSAGES
loading,Loading,Chargement
noPhotosAvailable,No photos available,Aucune photo disponible
noPlacesFound,No places found,Aucun lieu trouvé
# HOME PAGE CONTENT
heroText,"Historic places in the Yukon are a tangible record of the people, events and activities that have shaped our way of life and our environment.","Les lieux patrimoniaux du Yukon sont un témoignage tangible des personnes, des événements et des activités qui ont façonné notre mode de vie et notre environnement."
heroSubtext1,"Our historic places represent the technologies, designs and ideas that are the framework of our society and the basis for our future.","Nos lieux patrimoniaux représentent les technologies, les designs et les idées qui constituent le cadre de notre société et la base de notre avenir."
heroSubtext2,"Many places are landmarks within a community, are associated with remarkable people or historical events, or are places that have cultural, social, scientific or architectural significance.","De nombreux lieux sont des points de repère au sein d'une communauté, sont associés à des personnes remarquables ou à des événements historiques, ou sont des lieux qui ont une importance culturelle, sociale, scientifique ou architecturale."
heroSubtext3,"The Register is an online resource of Yukon's historic places that have been designated as historically significant on a municipal, territorial or national level. You can explore Yukon's history by searching our website for historic places by location on a map, in a list or via name.","Le Répertoire est une ressource en ligne des lieux patrimoniaux du Yukon qui ont été désignés comme historiquement significatifs à l'échelle municipale, territoriale ou nationale. Vous pouvez explorer l'histoire du Yukon en recherchant des lieux patrimoniaux par emplacement sur une carte, dans une liste ou par nom."
mapViewDescription,"Explore historic places on an interactive map. Find locations near you and discover their historical significance.","Explorez les lieux patrimoniaux sur une carte interactive. Trouvez des emplacements près de chez vous et découvrez leur importance historique."
listViewDescription,"Browse through our comprehensive list of historic places. Filter and search to find specific locations or types of sites.","Parcourez notre liste complète de lieux patrimoniaux. Filtrez et recherchez pour trouver des emplacements spécifiques ou des types de sites."
searchDescription,"Search for specific historic places by name, location, or historical significance.","Recherchez des lieux patrimoniaux spécifiques par nom, emplacement ou importance historique."
